idx_in_subset,AP,query_image
0,1.0,0002_c002_00030600_0.jpg
1,0.995346,0002_c003_00084280_0.jpg
2,1.0,0002_c004_00084250_0.jpg
3,1.0,0002_c005_00084980_0.jpg
4,1.0,0002_c006_00083605_0.jpg
5,0.960214,0002_c007_00085080_0.jpg
6,1.0,0002_c008_00084510_0.jpg
7,1.0,0002_c009_00084490_0.jpg
8,0.999651,0002_c010_00083770_0.jpg
9,1.0,0002_c011_00083590_0.jpg
10,0.99606,0005_c002_00075750_0.jpg
11,0.987845,0005_c003_00077670_0.jpg
12,1.0,0005_c004_00077625_0.jpg
13,0.997163,0005_c005_00078360_0.jpg
14,0.980544,0005_c006_00076875_1.jpg
15,0.916599,0005_c007_00078460_0.jpg
16,0.857956,0005_c008_00077885_0.jpg
17,0.996404,0005_c009_00077860_0.jpg
18,0.996642,0005_c010_00077035_0.jpg
19,0.993216,0005_c011_00076875_1.jpg
20,1.0,0006_c014_00022355_0.jpg
21,1.0,0006_c015_00022375_0.jpg
22,1.0,0006_c016_00026255_0.jpg
23,1.0,0006_c017_00023390_0.jpg
24,1.0,0006_c019_00023100_0.jpg
25,0.866949,0009_c001_00067370_0.jpg
26,0.535089,0009_c012_00068010_0.jpg
27,0.679588,0009_c013_00067835_0.jpg
28,0.616705,0009_c014_00070060_0.jpg
29,0.714897,0009_c015_00069860_0.jpg
30,0.808932,0009_c016_00071115_0.jpg
31,0.628049,0009_c017_00068800_0.jpg
32,0.53515,0009_c019_00069105_0.jpg
33,0.983561,0014_c001_00041060_0.jpg
34,0.974444,0014_c012_00040760_0.jpg
35,0.834479,0014_c013_00040840_0.jpg
36,0.796073,0014_c014_00039385_0.jpg
37,0.997467,0014_c015_00039390_0.jpg
38,0.998765,0014_c016_00039135_0.jpg
39,0.894022,0014_c017_00040300_0.jpg
40,0.979747,0014_c019_00040055_0.jpg
41,0.805452,0027_c001_00013035_0.jpg
42,0.947504,0027_c013_00012855_0.jpg
43,0.694905,0027_c014_00011405_0.jpg
44,0.954659,0027_c015_00011450_0.jpg
