idx_in_subset,AP,query_basename,query_path
26,0.535089,0009_c012_00068010_0.jpg,/content/drive/MyDrive/vehicle_reid_itsc2023-main/dataset/VeRi/image_query/0009_c012_00068010_0.jpg
27,0.679588,0009_c013_00067835_0.jpg,/content/drive/MyDrive/vehicle_reid_itsc2023-main/dataset/VeRi/image_query/0009_c013_00067835_0.jpg
28,0.616705,0009_c014_00070060_0.jpg,/content/drive/MyDrive/vehicle_reid_itsc2023-main/dataset/VeRi/image_query/0009_c014_00070060_0.jpg
29,0.714897,0009_c015_00069860_0.jpg,/content/drive/MyDrive/vehicle_reid_itsc2023-main/dataset/VeRi/image_query/0009_c015_00069860_0.jpg
31,0.628049,0009_c017_00068800_0.jpg,/content/drive/MyDrive/vehicle_reid_itsc2023-main/dataset/VeRi/image_query/0009_c017_00068800_0.jpg
32,0.53515,0009_c019_00069105_0.jpg,/content/drive/MyDrive/vehicle_reid_itsc2023-main/dataset/VeRi/image_query/0009_c019_00069105_0.jpg
36,0.796073,0014_c014_00039385_0.jpg,/content/drive/MyDrive/vehicle_reid_itsc2023-main/dataset/VeRi/image_query/0014_c014_00039385_0.jpg
43,0.694905,0027_c014_00011405_0.jpg,/content/drive/MyDrive/vehicle_reid_itsc2023-main/dataset/VeRi/image_query/0027_c014_00011405_0.jpg
45,0.799025,0027_c016_00011185_0.jpg,/content/drive/MyDrive/vehicle_reid_itsc2023-main/dataset/VeRi/image_query/0027_c016_00011185_0.jpg
46,0.765006,0027_c017_00012205_0.jpg,/content/drive/MyDrive/vehicle_reid_itsc2023-main/dataset/VeRi/image_query/0027_c017_00012205_0.jpg
48,0.69256,0030_c005_00051590_1.jpg,/content/drive/MyDrive/vehicle_reid_itsc2023-main/dataset/VeRi/image_query/0030_c005_00051590_1.jpg
49,0.199938,0030_c007_00054885_1.jpg,/content/drive/MyDrive/vehicle_reid_itsc2023-main/dataset/VeRi/image_query/0030_c007_00054885_1.jpg
50,0.302098,0030_c008_00049770_0.jpg,/content/drive/MyDrive/vehicle_reid_itsc2023-main/dataset/VeRi/image_query/0030_c008_00049770_0.jpg
51,0.392806,0030_c009_00049855_0.jpg,/content/drive/MyDrive/vehicle_reid_itsc2023-main/dataset/VeRi/image_query/0030_c009_00049855_0.jpg
52,0.770563,0035_c002_00000440_2.jpg,/content/drive/MyDrive/vehicle_reid_itsc2023-main/dataset/VeRi/image_query/0035_c002_00000440_2.jpg
53,0.759393,0035_c003_00001875_0.jpg,/content/drive/MyDrive/vehicle_reid_itsc2023-main/dataset/VeRi/image_query/0035_c003_00001875_0.jpg
54,0.66388,0035_c004_00001795_0.jpg,/content/drive/MyDrive/vehicle_reid_itsc2023-main/dataset/VeRi/image_query/0035_c004_00001795_0.jpg
55,0.778683,0035_c006_00001150_0.jpg,/content/drive/MyDrive/vehicle_reid_itsc2023-main/dataset/VeRi/image_query/0035_c006_00001150_0.jpg
