idx_in_subset,query_name,AP_modelA,AP_modelB,AP_max,chosen_model
0,0002_c002_00030600_0.jpg,1.0,0.6275229593040849,1.0,A
1,0002_c003_00084280_0.jpg,0.9953461609901018,0.3814259375936535,0.9953461609901018,A
2,0002_c004_00084250_0.jpg,1.0,0.6028682987973415,1.0,A
3,0002_c005_00084980_0.jpg,1.0,0.8054088567850992,1.0,A
4,0002_c006_00083605_0.jpg,1.0,0.6183625500538343,1.0,A
5,0002_c007_00085080_0.jpg,0.9602144236444995,0.20060529704533467,0.9602144236444995,A
6,0002_c008_00084510_0.jpg,1.0,0.4204109798229672,1.0,A
7,0002_c009_00084490_0.jpg,1.0,0.4849367654052698,1.0,A
8,0002_c010_00083770_0.jpg,0.9996505939902166,0.4592388034056655,0.9996505939902166,A
9,0002_c011_00083590_0.jpg,1.0,0.5770174244298371,1.0,A
10,0005_c002_00075750_0.jpg,0.9960599100807612,0.2516296664587231,0.9960599100807612,A
11,0005_c003_00077670_0.jpg,0.987845277770629,0.4072816252909291,0.987845277770629,A
12,0005_c004_00077625_0.jpg,1.0,0.5134747709431463,1.0,A
13,0005_c005_00078360_0.jpg,0.9971626733921816,0.6591943749605828,0.9971626733921816,A
14,0005_c006_00076875_1.jpg,0.9805443681483721,0.7091815163710101,0.9805443681483721,A
15,0005_c007_00078460_0.jpg,0.9165992782263837,0.08548341066470833,0.9165992782263837,A
16,0005_c008_00077885_0.jpg,0.857955775695214,0.21362756201457175,0.857955775695214,A
17,0005_c009_00077860_0.jpg,0.9964038435887175,0.03694901832663059,0.9964038435887175,A
18,0005_c010_00077035_0.jpg,0.9966422466422465,0.4539035672211164,0.9966422466422465,A
19,0005_c011_00076875_1.jpg,0.9932164649076415,0.7268101666507747,0.9932164649076415,A
20,0006_c014_00022355_0.jpg,1.0,0.5953595656557176,1.0,A
21,0006_c015_00022375_0.jpg,1.0,0.4235876977875868,1.0,A
22,0006_c016_00026255_0.jpg,1.0,0.37670664160834694,1.0,A
23,0006_c017_00023390_0.jpg,1.0,0.2991874002047485,1.0,A
24,0006_c019_00023100_0.jpg,1.0,0.4714054212959397,1.0,A
25,0009_c001_00067370_0.jpg,0.8669491590743655,0.15566616542271125,0.8669491590743655,A
26,0009_c012_00068010_0.jpg,0.5350894196575349,0.7904876113145746,0.7904876113145746,B
27,0009_c013_00067835_0.jpg,0.679588429566591,0.7423126818196955,0.7423126818196955,B
28,0009_c014_00070060_0.jpg,0.6167045284790157,0.7587510357386681,0.7587510357386681,B
29,0009_c015_00069860_0.jpg,0.7148967852695027,0.8559169232152266,0.8559169232152266,B
30,0009_c016_00071115_0.jpg,0.8089320567917396,0.769969851504149,0.8089320567917396,A
31,0009_c017_00068800_0.jpg,0.628048892235329,0.8343958702107158,0.8343958702107158,B
32,0009_c019_00069105_0.jpg,0.5351504799840688,0.7549617940515673,0.7549617940515673,B
33,0014_c001_00041060_0.jpg,0.9835606355480978,0.36396300838806805,0.9835606355480978,A
34,0014_c012_00040760_0.jpg,0.9744440628726451,0.477378566516545,0.9744440628726451,A
35,0014_c013_00040840_0.jpg,0.8344788928738481,0.7357563184743918,0.8344788928738481,A
36,0014_c014_00039385_0.jpg,0.7960729566893793,0.47893860905868013,0.7960729566893793,A
37,0014_c015_00039390_0.jpg,0.9974671669793622,0.4187162983623311,0.9974671669793622,A
38,0014_c016_00039135_0.jpg,0.998765243902439,0.37843564355819015,0.998765243902439,A
39,0014_c017_00040300_0.jpg,0.894022067305045,0.4229279503961179,0.894022067305045,A
40,0014_c019_00040055_0.jpg,0.9797474423150786,0.39119762280760323,0.9797474423150786,A
41,0027_c001_00013035_0.jpg,0.8054522055454579,0.21185339248924395,0.8054522055454579,A
42,0027_c013_00012855_0.jpg,0.9475040090168656,0.4240122564193311,0.9475040090168656,A
43,0027_c014_00011405_0.jpg,0.6949048950578077,0.6814369311746602,0.6949048950578077,A
44,0027_c015_00011450_0.jpg,0.9546588731845078,0.5642246433626602,0.9546588731845078,A
45,0027_c016_00011185_0.jpg,0.7990253071646365,0.6880798698788885,0.7990253071646365,A
46,0027_c017_00012205_0.jpg,0.7650058598585394,0.7472281821325464,0.7650058598585394,A
47,0027_c019_00012010_0.jpg,0.9158353851606933,0.49183987658619027,0.9158353851606933,A
48,0030_c005_00051590_1.jpg,0.6925598194322709,0.654627438722158,0.6925598194322709,A
49,0030_c007_00054885_1.jpg,0.19993801838025974,0.5134857217999769,0.5134857217999769,B
50,0030_c008_00049770_0.jpg,0.3020978595589694,0.5164855931825667,0.5164855931825667,B
51,0030_c009_00049855_0.jpg,0.39280599121083754,0.41125042838814657,0.41125042838814657,B
52,0035_c002_00000440_2.jpg,0.770562791455212,0.5465797407376961,0.770562791455212,A
53,0035_c003_00001875_0.jpg,0.7593933915556886,0.5705204703347098,0.7593933915556886,A
54,0035_c004_00001795_0.jpg,0.6638800601279212,0.5804178958003555,0.6638800601279212,A
55,0035_c006_00001150_0.jpg,0.7786828624266957,0.5695961221632228,0.7786828624266957,A
56,0035_c010_00001265_0.jpg,0.7215101284874454,0.5356222414916317,0.7215101284874454,A
57,0035_c011_00001085_0.jpg,0.6053169757710649,0.470038616024085,0.6053169757710649,A
58,0038_c001_00001200_0.jpg,0.7888281650478371,0.536407361580318,0.7888281650478371,A
59,0038_c003_00008510_1.jpg,0.5089424436329241,0.47683070607676475,0.5089424436329241,A
60,0038_c004_00008430_0.jpg,0.700150275314755,0.6489543895844987,0.700150275314755,A
61,0038_c008_00008265_0.jpg,0.5541483007619313,0.5458780597173861,0.5541483007619313,A
62,0038_c009_00008275_0.jpg,0.5267882434473763,0.3491372630457533,0.5267882434473763,A
63,0038_c012_00001765_0.jpg,0.789864638317711,0.6143233451154017,0.789864638317711,A
64,0038_c013_00001640_0.jpg,0.8410958888607999,0.5858806120165697,0.8410958888607999,A
65,0038_c014_00004130_0.jpg,0.7391915158163455,0.6160366747518137,0.7391915158163455,A
66,0038_c015_00004055_0.jpg,0.7067944664424769,0.6294049010353382,0.7067944664424769,A
67,0038_c016_00004350_0.jpg,0.486414448004874,0.6214293550495539,0.6214293550495539,B
68,0038_c017_00003360_0.jpg,0.8302034001195365,0.6615963545879692,0.8302034001195365,A
69,0038_c019_00003575_0.jpg,0.8023012745827708,0.6061489011553184,0.8023012745827708,A
70,0042_c001_00085315_0.jpg,1.0,0.23603296712384014,1.0,A
71,0042_c002_00085830_0.jpg,1.0,0.08719106172059615,1.0,A
72,0042_c003_00087110_0.jpg,1.0,0.3123229289283195,1.0,A
73,0042_c004_00087105_0.jpg,1.0,0.054617398532404854,1.0,A
74,0042_c006_00086245_0.jpg,1.0,0.26915880146512455,1.0,A
75,0042_c010_00086395_0.jpg,1.0,0.1331996567585193,1.0,A
76,0042_c011_00086255_0.jpg,1.0,0.21279820031049934,1.0,A
77,0042_c012_00083340_0.jpg,1.0,0.055773625590636096,1.0,A
78,0042_c013_00083430_0.jpg,1.0,0.11946939122721244,1.0,A
79,0042_c017_00082800_0.jpg,0.999320364135179,0.026405226729077056,0.999320364135179,A
80,0061_c003_00083765_0.jpg,0.13674414990085867,0.021598577903543307,0.13674414990085867,A
81,0061_c004_00083720_0.jpg,1.0,0.038234843222110154,1.0,A
82,0061_c010_00080095_0.jpg,0.883459595959596,0.30504705987153746,0.883459595959596,A
83,0063_c001_00009565_0.jpg,0.9384184654979388,0.009319656118789392,0.9384184654979388,A
84,0063_c002_00010000_0.jpg,0.691916629680758,0.19772384224917394,0.691916629680758,A
85,0063_c012_00009300_0.jpg,0.8743141823244942,0.01237133552158373,0.8743141823244942,A
86,0063_c013_00009375_0.jpg,0.9645833066864493,0.26213784417461433,0.9645833066864493,A
87,0063_c016_00007580_0.jpg,0.9229215747720262,0.00853283862797857,0.9229215747720262,A
